iter	Passed	Remaining
0	459	458553
1	834	416278
2	1088	361870
3	1225	305222
4	1426	283853
5	1741	288569
6	2029	287918
7	2334	289538
8	2673	294386
9	2940	291071
10	3265	293554
11	3451	284209
12	3796	288206
13	4044	284856
14	4263	279994
15	4588	282174
16	4702	271929
17	5001	272853
18	5283	272808
19	5504	269739
20	5683	264974
21	5928	263533
22	6295	267440
23	6449	262260
24	6771	264069
25	7137	267378
26	7497	270187
27	7808	271073
28	7952	266275
29	8233	266218
30	8368	261579
31	8676	262451
32	8987	263365
33	9259	263067
34	9579	264133
35	9897	265021
36	10215	265868
37	10511	266117
38	10849	267337
39	11101	266433
40	11278	263814
41	11597	264542
42	11861	263991
43	12263	266444
44	12538	266103
45	12813	265749
46	13157	266788
47	13435	266461
48	13747	266817
49	14039	266749
50	14296	266025
51	14597	266130
52	14806	264570
53	15156	265520
54	15519	266647
55	15825	266769
56	16157	267310
57	16495	267909
58	16868	269040
59	17128	268340
60	17461	268788
61	17763	268743
62	18138	269773
63	18428	269513
64	18776	270088
65	19100	270302
66	19347	269415
67	19586	268454
68	19903	268546
69	20160	267847
70	20473	267889
71	20734	267247
72	21049	267305
73	21369	267407
74	21754	268311
75	22013	267632
76	22321	267563
77	22641	267636
78	22921	267227
79	23254	267421
80	23611	267890
81	23891	267464
82	24181	267157
83	24514	267325
84	24806	267030
85	25166	267467
86	25533	267951
87	25862	268032
88	26124	267410
89	26474	267687
90	26793	267643
91	26937	265865
92	27292	266171
93	27661	266613
94	28048	267196
95	28335	266823
96	28666	266860
97	28977	266708
98	29249	266198
99	29689	267203
100	29962	266693
101	30231	266154
102	30533	265906
103	30788	265256
104	31078	264910
105	31358	264474
106	31717	264707
107	32001	264304
108	32325	264241
109	32729	264814
110	33083	264968
111	33192	263172
112	33548	263342
113	33863	263184
114	34194	263148
115	34450	262537
116	34699	261878
117	35029	261828
118	35179	260447
119	35515	260445
120	35811	260153
121	36122	259962
122	36395	259501
123	36748	259610
124	37091	259642
125	37415	259533
126	37746	259471
127	38121	259702
128	38480	259817
129	38781	259535
130	39137	259625
131	39252	258112
132	39368	256638
133	39703	256588
134	40042	256569
135	40328	256206
136	40589	255684
137	40870	255291
138	41173	255035
139	41533	255131
140	41806	254693
141	42194	254950
142	42570	255123
143	42930	255198
144	43257	255068
145	43657	255367
146	43956	255069
147	44258	254785
148	44598	254719
149	44870	254265
150	45188	254071
151	45466	253653
152	45764	253350
153	46036	252901
154	46309	252463
155	46623	252242
156	46922	251947
157	47299	252062
158	47605	251801
159	47910	251532
160	48228	251329
161	48589	251348
162	48930	251258
163	49189	250747
164	49535	250678
165	49839	250396
166	50141	250109
167	50466	249929
168	50828	249933
169	51112	249548
170	51407	249220
171	51813	249429
172	52195	249511
173	52578	249598
174	52863	249213
175	53124	248718
176	53373	248172
177	53698	247979
178	53998	247668
179	54302	247376
180	54581	246974
181	54844	246501
182	55211	246489
183	55522	246232
184	55767	245678
185	56060	245340
186	56376	245102
187	56740	245071
188	57056	244830
189	57374	244596
190	57681	244314
191	57913	243718
192	58276	243672
193	58555	243277
194	58821	242828
195	59172	242726
196	59433	242257
197	59775	242122
198	60078	241823
199	60416	241665
200	60805	241710
201	61187	241721
202	61549	241649
203	61814	241197
204	62079	240745
205	62510	240940
206	62796	240569
207	63111	240307
208	63413	239999
209	63778	239927
210	64118	239762
211	64448	239554
212	64808	239457
213	65101	239111
214	65451	238973
215	65714	238517
216	66007	238176
217	66303	237841
218	66665	237744
219	67026	237639
220	67369	237470
221	67629	237006
222	68020	237004
223	68287	236566
224	68557	236143
225	68956	236160
226	69367	236214
227	69714	236050
228	70080	235948
229	70404	235701
230	70739	235491
231	71089	235329
232	71438	235163
233	71757	234898
234	72099	234705
235	72451	234544
236	72781	234312
237	73153	234212
238	73427	233801
239	73807	233724
240	74137	233485
241	74532	233454
242	74844	233157
243	75142	232817
244	75435	232463
245	75791	232304
246	76033	231793
247	76324	231434
248	76678	231267
249	77030	231092
250	77303	230678
251	77594	230319
252	77894	229988
253	78155	229544
254	78489	229312
255	78821	229073
256	79149	228823
257	79483	228591
258	79869	228507
259	80149	228118
260	80394	227631
261	80716	227360
262	81035	227083
263	81391	226909
264	81644	226447
265	82057	226428
266	82406	226230
267	82764	226057
268	83122	225883
269	83451	225627
270	83819	225478
271	84136	225189
272	84419	224808
273	84818	224739
274	85204	224629
275	85529	224359
276	85889	224180
277	86172	223800
278	86580	223743
279	86955	223598
280	87254	223259
281	87628	223111
282	87893	222683
283	88210	222389
284	88570	222203
285	88917	221983
286	89229	221674
287	89500	221265
288	89842	221030
289	90182	220791
290	90539	220591
291	90930	220475
292	91295	220292
293	91673	220140
294	92056	220000
295	92425	219823
296	92751	219543
297	93034	219162
298	93299	218738
299	93631	218473
300	94037	218379
301	94361	218093
302	94668	217768
303	95041	217595
304	95383	217349
305	95757	217174
306	96106	216943
307	96463	216728
308	96846	216573
309	97189	216325
310	97537	216088
311	97856	215785
312	98114	215349
313	98485	215162
314	98828	214912
315	99166	214650
316	99524	214433
317	99792	214021
318	100194	213894
319	100475	213509
320	100725	213060
321	101119	212916
322	101433	212602
323	101885	212575
324	102256	212379
325	102639	212204
326	103005	211995
327	103255	211547
328	103646	211389
329	104021	211196
330	104374	210956
331	104728	210718
332	105059	210433
333	105410	210190
334	105789	209999
335	106075	209626
336	106439	209403
337	106705	208990
338	107116	208860
339	107395	208473
340	107745	208223
341	108078	207940
